STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-GRDD-BASE40,Completeness Flag,DLY-HTDD-BASE40,Completeness Flag,DLY-PRCP-25PCTL,Completeness Flag,DLY-TAVG-NORMAL,Completeness Flag
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100101,0,Q,20,Q,-9999, ,204,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100102,0,Q,20,Q,-9999, ,204,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100103,0,Q,20,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100104,0,Q,20,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100105,-7777,Q,19,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100106,-7777,Q,19,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100107,-7777,Q,19,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100108,-7777,Q,19,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100109,-7777,Q,19,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100110,-7777,Q,19,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100111,-7777,Q,19,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100112,-7777,Q,20,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100113,-7777,Q,20,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100114,-7777,Q,20,Q,-9999, ,205,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100115,-7777,Q,20,Q,-9999, ,204,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100116,-7777,Q,20,Q,-9999, ,204,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100117,-7777,Q,20,Q,-9999, ,204,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100118,-7777,Q,20,Q,-9999, ,203,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100119,-7777,Q,20,Q,-9999, ,203,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100120,-7777,Q,20,Q,-9999, ,202,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100121,-7777,Q,20,Q,-9999, ,202,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100122,-7777,Q,20,Q,-9999, ,201,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100123,-7777,Q,20,Q,-9999, ,200,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100124,-7777,Q,20,Q,-9999, ,200,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100125,-7777,Q,20,Q,-9999, ,199,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100126,-7777,Q,20,Q,-9999, ,199,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100127,-7777,Q,20,Q,-9999, ,198,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100128,-7777,Q,20,Q,-9999, ,198,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100129,-7777,Q,20,Q,-9999, ,197,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100130,-7777,Q,20,Q,-9999, ,197,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100131,-7777,Q,20,Q,-9999, ,197,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100201,-7777,Q,20,Q,-9999, ,197,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100202,-7777,Q,20,Q,-9999, ,196,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100203,-7777,Q,20,Q,-9999, ,196,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100204,-7777,Q,20,Q,-9999, ,196,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100205,0,Q,20,Q,-9999, ,196,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100206,0,Q,20,Q,-9999, ,196,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100207,0,Q,20,Q,-9999, ,197,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100208,0,Q,20,Q,-9999, ,197,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100209,0,Q,20,Q,-9999, ,197,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100210,0,Q,20,Q,-9999, ,198,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100211,0,Q,20,Q,-9999, ,199,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100212,0,Q,20,Q,-9999, ,199,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100213,-7777,Q,20,Q,-9999, ,200,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100214,-7777,Q,20,Q,-9999, ,201,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100215,-7777,Q,20,Q,-9999, ,202,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100216,-7777,Q,20,Q,-9999, ,203,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100217,-7777,Q,20,Q,-9999, ,204,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100218,-7777,Q,19,Q,-9999, ,206,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100219,-7777,Q,19,Q,-9999, ,207,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100220,-7777,Q,19,Q,-9999, ,209,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100221,-7777,Q,19,Q,-9999, ,210,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100222,-7777,Q,19,Q,-9999, ,212,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100223,-7777,Q,19,Q,-9999, ,213,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100224,-7777,Q,19,Q,-9999, ,215,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100225,-7777,Q,18,Q,-9999, ,217,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100226,-7777,Q,18,Q,-9999, ,219,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100227,-7777,Q,18,Q,-9999, ,221,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100228,-7777,Q,18,Q,-9999, ,222,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100301,-7777,Q,18,Q,-9999, ,224,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100302,-7777,Q,17,Q,-9999, ,226,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100303,-7777,Q,17,Q,-9999, ,228,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100304,-7777,Q,17,Q,-9999, ,230,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100305,-7777,Q,17,Q,-9999, ,232,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100306,-7777,Q,17,Q,-9999, ,234,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100307,-7777,Q,16,Q,-9999, ,236,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100308,-7777,Q,16,Q,-9999, ,238,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100309,-7777,Q,16,Q,-9999, ,240,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100310,-7777,Q,16,Q,-9999, ,242,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100311,-7777,Q,16,Q,-9999, ,244,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100312,-7777,Q,15,Q,-9999, ,246,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100313,-7777,Q,15,Q,-9999, ,248,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100314,-7777,Q,15,Q,-9999, ,250,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100315,-7777,Q,15,Q,-9999, ,252,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100316,-7777,Q,15,Q,-9999, ,254,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100317,-7777,Q,15,Q,-9999, ,255,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100318,-7777,Q,14,Q,-9999, ,257,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100319,-7777,Q,14,Q,-9999, ,259,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100320,-7777,Q,14,Q,-9999, ,261,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100321,-7777,Q,14,Q,-9999, ,263,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100322,-7777,Q,14,Q,-9999, ,264,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100323,-7777,Q,14,Q,-9999, ,266,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100324,-7777,Q,13,Q,-9999, ,268,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100325,-7777,Q,13,Q,-9999, ,269,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100326,-7777,Q,13,Q,-9999, ,271,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100327,-7777,Q,13,Q,-9999, ,273,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100328,-7777,Q,13,Q,-9999, ,275,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100329,-7777,Q,13,Q,-9999, ,276,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100330,-7777,Q,12,Q,-9999, ,278,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100331,-7777,Q,12,Q,-9999, ,280,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100401,-7777,Q,12,Q,-9999, ,282,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100402,-7777,Q,12,Q,-9999, ,283,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100403,-7777,Q,12,Q,-9999, ,285,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100404,-7777,Q,12,Q,-9999, ,287,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100405,-7777,Q,11,Q,-9999, ,289,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100406,-7777,Q,11,Q,-9999, ,291,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100407,-7777,Q,11,Q,-9999, ,293,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100408,-7777,Q,11,Q,-9999, ,294,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100409,-7777,Q,11,Q,-9999, ,296,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100410,-7777,Q,10,Q,-9999, ,299,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100411,-7777,Q,10,Q,-9999, ,301,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100412,-7777,Q,10,Q,-9999, ,303,Q
GHCND:USW00094075,BOULDER 14 W CO US,2995.6,40.0354,-105.5409,20100413,-7777,Q,10,Q,-9999, ,305,Q
